from,to,voting_ratio
bg,it,0.1428571429
bg,lt,0.2
bg,md,0.2
bg,nl,0.1666666667
by,at,0.25
by,bg,0.25
by,cy,0.3333333333
by,lt,0.2
by,mk,1
by,mt,0.3333333333
by,no,0.1666666667
by,pt,0.2
by,ru,0.3333333333
by,se,0.2857142857
ch,au,0.1666666667
ch,be,0.2
ch,bg,0.5
ch,cz,0.2
ch,de,0.1428571429
ch,ee,0.5
ch,es,0.1428571429
ch,fr,0.1428571429
ch,gr,0.25
ch,il,0.1666666667
ch,it,0.2857142857
ch,lt,0.2
ch,mk,1
ch,nl,0.3333333333
ch,pt,0.2
ch,se,0.2857142857
cy,am,0.25
cy,at,0.25
cy,au,0.5
cy,az,0.2
cy,gr,1
cy,it,0.5714285714
cy,md,0.2
cy,mt,0.3333333333
cy,pt,0.2
cy,ru,0.6666666667
cy,se,0.2857142857
cz,am,0.25
cz,au,0.1666666667
cz,ee,0.25
cz,fr,0.1428571429
cz,gb,0.1428571429
cz,hr,0.3333333333
cz,hu,0.3333333333
cz,ie,1
cz,il,0.1666666667
cz,is,0.3333333333
cz,it,0.1428571429
cz,nl,0.1666666667
cz,pt,0.4
cz,se,0.7142857143
cz,si,0.3333333333
cz,ua,0.1666666667
de,at,0.25
de,au,0.3333333333
de,bg,0.25
de,ch,0.25
de,ee,0.25
de,es,0.1428571429
de,fr,0.1428571429
de,gb,0.1428571429
de,ge,1
de,ie,1
de,il,0.1666666667
de,it,0.1428571429
de,mt,0.3333333333
de,nl,0.1666666667
de,no,0.1666666667
de,pt,0.2
de,se,0.4285714286
de,ua,0.1666666667
dk,at,0.25
dk,au,0.5
dk,be,0.2
dk,ch,0.25
dk,de,0.2857142857
dk,fi,0.5
dk,gr,0.25
dk,is,0.3333333333
dk,mk,1
dk,nl,0.1666666667
dk,no,0.1666666667
dk,pt,0.4
dk,se,0.4285714286
dk,ua,0.1666666667
ee,at,0.25
ee,au,0.5
ee,bg,0.25
ee,ch,0.5
ee,cy,0.1666666667
ee,cz,0.2
ee,fi,0.25
ee,fr,0.1428571429
ee,is,0.3333333333
ee,it,0.1428571429
ee,lt,0.2
ee,lv,1
ee,no,0.1666666667
ee,pt,0.2
ee,se,0.5714285714
es,am,0.25
es,at,0.25
es,au,0.6666666667
es,az,0.2
es,ch,0.25
es,cy,0.1666666667
es,fr,0.1428571429
es,hu,0.3333333333
es,il,0.3333333333
es,it,0.4285714286
es,mt,0.3333333333
es,nl,0.1666666667
es,pt,0.2
es,se,0.2857142857
fi,au,0.6666666667
fi,bg,0.5
fi,ch,0.5
fi,cz,0.2
fi,gb,0.1428571429
fi,il,0.1666666667
fi,is,0.3333333333
fi,nl,0.3333333333
fi,pt,0.2
fi,se,0.8571428571
fr,at,0.5
fr,au,0.1666666667
fr,bg,0.25
fr,de,0.1428571429
fr,fi,0.25
fr,gb,0.1428571429
fr,gr,0.25
fr,il,0.3333333333
fr,it,0.4285714286
fr,nl,0.1666666667
fr,pl,0.25
fr,pt,0.4
fr,ru,0.3333333333
fr,se,0.2857142857
fr,ua,0.1666666667
gb,at,0.25
gb,au,0.6666666667
gb,bg,0.25
gb,ch,0.25
gb,es,0.1428571429
gb,fr,0.1428571429
gb,ge,1
gb,il,0.1666666667
gb,is,0.3333333333
gb,lt,0.2
gb,mk,1
gb,pl,0.25
gb,pt,0.2
gb,se,0.5714285714
gb,ua,0.1666666667
ge,am,0.25
ge,at,0.25
ge,au,0.1666666667
ge,az,0.4
ge,be,0.4
ge,ch,0.25
ge,cz,0.2
ge,ee,0.25
ge,gb,0.1428571429
ge,it,0.4285714286
ge,nl,0.1666666667
ge,pt,0.4
ge,se,0.4285714286
ge,ua,0.1666666667
gr,am,0.5
gr,au,0.1666666667
gr,az,0.6
gr,be,0.2
gr,bg,0.25
gr,cy,0.8333333333
gr,il,0.1666666667
gr,md,0.4
gr,pl,0.25
gr,pt,0.2
gr,ru,0.6666666667
gr,se,0.1428571429
hr,au,0.1666666667
hr,bg,0.25
hr,ch,0.5
hr,cz,0.2
hr,fr,0.1428571429
hr,hu,0.3333333333
hr,il,0.3333333333
hr,is,0.3333333333
hr,it,0.4285714286
hr,lt,0.2
hr,md,0.2
hr,mk,1
hr,nl,0.1666666667
hr,pt,0.2
hr,rs,0.1666666667
hr,se,0.1428571429
hr,ua,0.1666666667
hu,al,0.25
hu,at,0.25
hu,au,0.1666666667
hu,bg,0.25
hu,by,0.5
hu,cz,0.2
hu,dk,0.3333333333
hu,lv,1
hu,mk,1
hu,mt,0.3333333333
hu,nl,0.1666666667
hu,pt,0.2
ie,be,0.6
ie,bg,0.75
ie,ch,0.25
ie,cy,0.1666666667
ie,de,0.1428571429
ie,es,0.1428571429
ie,fi,0.25
ie,fr,0.1428571429
ie,gb,0.1428571429
ie,is,0.3333333333
ie,mt,0.3333333333
ie,nl,0.3333333333
ie,ro,0.5
ie,se,0.4285714286
il,at,0.25
il,au,0.1666666667
il,be,0.2
il,ch,0.25
il,ee,0.25
il,fi,0.25
il,fr,0.2857142857
il,gb,0.2857142857
il,it,0.2857142857
il,lt,0.2
il,nl,0.1666666667
il,no,0.1666666667
il,pt,0.2
il,se,0.5714285714
il,ua,0.1666666667
is,al,0.25
is,at,0.5
is,au,0.6666666667
is,bg,0.25
is,ch,0.25
is,fi,0.25
is,il,0.1666666667
is,mk,1
is,nl,0.1666666667
is,no,0.1666666667
is,pt,0.4
is,ru,0.3333333333
is,se,0.4285714286
is,ua,0.1666666667
it,am,0.25
it,az,0.2
it,de,0.1428571429
it,dk,0.6666666667
it,es,0.1428571429
it,fi,0.25
it,gr,0.25
it,il,0.3333333333
it,is,0.3333333333
it,lt,0.2
it,md,0.2
it,mk,1
it,mt,0.3333333333
it,nl,0.1666666667
it,no,0.1666666667
it,se,0.2857142857
it,ua,0.3333333333
lt,at,0.5
lt,au,0.1666666667
lt,az,0.2
lt,ch,0.25
lt,fr,0.1428571429
lt,gb,0.1428571429
lt,ge,1
lt,il,0.1666666667
lt,it,0.2857142857
lt,nl,0.1666666667
lt,no,0.1666666667
lt,pt,0.4
lt,se,0.4285714286
lt,ua,0.5
lv,be,0.2
lv,bg,0.25
lv,ch,0.25
lv,ee,0.5
lv,es,0.1428571429
lv,fr,0.1428571429
lv,gb,0.1428571429
lv,is,0.3333333333
lv,it,0.1428571429
lv,lt,0.2
lv,mk,1
lv,nl,0.1666666667
lv,pt,0.2
lv,se,0.7142857143
lv,ua,0.3333333333
md,au,0.3333333333
md,bg,0.75
md,cz,0.2
md,ee,0.25
md,es,0.1428571429
md,gb,0.1428571429
md,gr,0.25
md,il,0.1666666667
md,it,0.1428571429
md,mk,1
md,pt,0.2
md,ro,0.5
md,ru,0.3333333333
md,se,0.4285714286
md,ua,0.3333333333
mk,al,0.25
mk,au,0.5
mk,bg,0.5
mk,cy,0.1666666667
mk,ee,0.25
mk,es,0.1428571429
mk,gb,0.1428571429
mk,il,0.1666666667
mk,it,0.2857142857
mk,pt,0.2
mk,rs,0.5
mk,ua,0.1666666667
mt,al,0.25
mt,az,0.2
mt,bg,0.5
mt,ch,0.25
mt,cy,0.1666666667
mt,es,0.1428571429
mt,fi,0.25
mt,fr,0.1428571429
mt,gb,0.2857142857
mt,it,0.7142857143
mt,pt,0.2
mt,ru,0.3333333333
mt,se,0.4285714286
nl,at,0.5
nl,au,0.1666666667
nl,bg,0.25
nl,ch,0.5
nl,cz,0.2
nl,de,0.1428571429
nl,dk,0.3333333333
nl,fi,0.25
nl,fr,0.1428571429
nl,gr,0.25
nl,is,0.3333333333
nl,mt,0.3333333333
nl,pt,0.4
nl,ru,0.3333333333
nl,se,0.5714285714
no,at,0.25
no,au,0.1666666667
no,bg,0.5
no,cz,0.2
no,de,0.1428571429
no,dk,0.3333333333
no,fi,0.25
no,gr,0.25
no,il,0.1666666667
no,it,0.1428571429
no,md,0.2
no,mk,1
no,mt,0.3333333333
no,pt,0.4
no,se,0.7142857143
pl,at,0.25
pl,au,0.3333333333
pl,be,0.2
pl,cy,0.1666666667
pl,de,0.1428571429
pl,ee,0.25
pl,gb,0.1428571429
pl,ge,1
pl,il,0.1666666667
pl,is,0.3333333333
pl,mk,1
pl,nl,0.3333333333
pl,pt,0.4
pl,se,0.1428571429
pl,si,0.3333333333
pl,sm,0.5
pl,ua,0.3333333333
pt,al,0.25
pt,at,0.5
pt,au,0.1666666667
pt,az,0.4
pt,be,0.2
pt,bg,0.25
pt,cz,0.2
pt,ee,0.5
pt,es,0.2857142857
pt,gb,0.1428571429
pt,is,0.3333333333
pt,nl,0.1666666667
pt,ru,0.3333333333
pt,ua,0.1666666667
ro,at,0.25
ro,au,0.1666666667
ro,az,0.2
ro,bg,0.25
ro,cz,0.2
ro,ee,0.25
ro,es,0.1428571429
ro,fi,0.25
ro,gb,0.1428571429
ro,it,0.1428571429
ro,md,0.2
ro,mt,0.3333333333
ro,nl,0.3333333333
ro,pt,0.2
ro,se,0.2857142857
ro,ua,0.1666666667
rs,az,0.2
rs,be,0.2
rs,de,0.1428571429
rs,ee,0.25
rs,fi,0.25
rs,fr,0.1428571429
rs,hr,0.3333333333
rs,hu,0.3333333333
rs,il,0.1666666667
rs,it,0.5714285714
rs,lt,0.2
rs,mk,1
rs,mt,0.3333333333
rs,pt,0.2
rs,se,0.2857142857
rs,si,0.3333333333
rs,ua,0.1666666667
ru,am,0.25
ru,az,0.6
ru,cy,0.1666666667
ru,gr,0.25
ru,il,0.1666666667
ru,it,0.1428571429
ru,md,0.4
ru,mt,0.3333333333
ru,se,0.1428571429
se,at,0.25
se,au,0.6666666667
se,az,0.2
se,ch,0.25
se,cy,0.1666666667
se,es,0.1428571429
se,fi,0.25
se,fr,0.2857142857
se,gb,0.1428571429
se,it,0.2857142857
se,md,0.2
se,mt,0.3333333333
se,nl,0.1666666667
se,no,0.1666666667
se,pt,0.2
se,ua,0.1666666667
si,at,0.25
si,az,0.2
si,be,0.2
si,bg,0.5
si,cy,0.1666666667
si,cz,0.2
si,ee,0.25
si,gb,0.1428571429
si,is,0.3333333333
si,it,0.5714285714
si,lt,0.4
si,pt,0.2
si,ru,0.3333333333
si,se,0.1428571429
si,ua,0.3333333333
sm,be,0.2
sm,de,0.1428571429
sm,ee,0.25
sm,es,0.1428571429
sm,fr,0.1428571429
sm,gb,0.2857142857
sm,gr,0.75
sm,il,0.1666666667
sm,it,0.5714285714
sm,lt,0.2
sm,no,0.1666666667
sm,pt,0.2
sm,ru,0.3333333333
sm,se,0.1428571429
sm,ua,0.1666666667
ua,au,0.1666666667
ua,be,0.2
ua,by,0.5
ua,ch,0.25
ua,fr,0.2857142857
ua,gb,0.1428571429
ua,hu,0.3333333333
ua,il,0.1666666667
ua,it,0.1428571429
ua,lt,0.4
ua,lv,1
ua,nl,0.3333333333
ua,pt,0.4
ua,se,0.1428571429
