from,to,voting_ratio
ch,at,0.25
ch,rs,0.6666666667
ch,de,0.1428571429
ch,pt,0.6
ch,it,0.8571428571
ch,hr,0.3333333333
ch,no,0.1666666667
ch,al,0.5
ch,ua,0.1666666667
ch,fi,0.25
cy,bg,0.75
cy,ru,0.6666666667
cy,am,0.25
cy,it,0.4285714286
cy,gr,1
cy,se,0.1428571429
cy,il,0.3333333333
cy,cz,0.2
cy,fr,0.1428571429
cy,ua,0.3333333333
cy,es,0.1428571429
cz,ua,0.8333333333
cz,ru,0.6666666667
cz,am,0.25
cz,bg,0.25
cz,az,0.2
cz,pt,0.2
cz,il,0.3333333333
cz,cy,0.1666666667
cz,no,0.1666666667
cz,au,0.1666666667
cz,gr,0.25
cz,md,0.4
cz,rs,0.1666666667
cz,fi,0.25
de,ru,0.6666666667
de,pl,0.5
de,be,0.2
de,hr,0.3333333333
de,se,0.1428571429
de,pt,0.2
de,fr,0.1428571429
de,ua,0.1666666667
de,il,0.1666666667
de,it,0.2857142857
de,cz,0.2
de,ch,0.25
de,no,0.1666666667
de,fi,0.5
de,lt,0.2
de,md,0.2
de,al,0.25
dk,se,0.8571428571
dk,bg,0.25
dk,md,0.2
dk,au,0.1666666667
dk,be,0.2
dk,at,0.25
dk,de,0.1428571429
dk,is,0.3333333333
dk,fi,0.25
dk,no,0.8333333333
dk,ee,0.25
dk,ua,0.1666666667
ee,ua,0.5
ee,ru,0.6666666667
ee,be,0.2
ee,hu,0.3333333333
ee,se,0.4285714286
ee,pt,0.2
ee,lt,0.4
ee,fi,1
ee,dk,0.3333333333
ee,nl,0.1666666667
ee,no,0.1666666667
ee,it,0.1428571429
es,ru,0.3333333333
es,bg,0.75
es,fr,0.2857142857
es,pt,0.2
es,it,0.4285714286
es,il,0.1666666667
es,cy,0.1666666667
es,nl,0.1666666667
es,cz,0.2
es,ch,0.25
es,ua,0.3333333333
es,gb,0.1428571429
es,ro,0.5
es,fi,0.25
es,no,0.1666666667
fi,ua,0.5
fi,ru,0.3333333333
fi,be,0.2
fi,it,0.2857142857
fi,ee,0.75
fi,dk,0.3333333333
fi,hu,0.3333333333
fi,se,0.2857142857
fi,pt,0.2
fi,is,0.6666666667
fi,cz,0.2
fi,no,0.3333333333
fi,au,0.1666666667
fr,ua,0.5
fr,am,0.5
fr,be,0.2
fr,ro,0.5
fr,it,0.4285714286
fr,pt,0.6
fr,at,0.25
fr,il,0.5
fr,no,0.1666666667
fr,rs,0.1666666667
fr,md,0.4
gb,bg,0.75
gb,pl,1
gb,lt,0.8
gb,pt,0.2
gb,au,0.1666666667
gb,is,0.6666666667
gb,cy,0.1666666667
gb,ie,1
gb,no,0.1666666667
gb,ua,0.1666666667
gb,md,0.2
gb,fi,0.25
ge,ru,0.6666666667
ge,am,1
ge,il,0.1666666667
ge,cy,0.3333333333
ge,ua,0.6666666667
ge,pt,0.2
ge,az,0.2
ge,it,0.1428571429
ge,sm,0.5
ge,lt,0.2
ge,gr,0.25
ge,md,0.2
ge,fi,0.25
gr,pt,0.2
gr,bg,0.25
gr,it,0.4285714286
gr,al,0.25
gr,ru,0.6666666667
gr,am,0.25
gr,cy,1
gr,fr,0.1428571429
gr,ua,0.1666666667
gr,es,0.1428571429
gr,rs,0.1666666667
gr,se,0.1428571429
gr,fi,0.25
hr,ua,0.5
hr,ru,0.3333333333
hr,rs,0.8333333333
hr,pt,0.2
hr,cy,0.1666666667
hr,it,0.5714285714
hr,si,0.6666666667
hr,bg,0.25
hr,hu,0.3333333333
hr,md,0.2
hr,fi,0.25
hu,ua,0.1666666667
hu,ru,0.3333333333
hu,pl,0.25
hu,md,0.2
hu,be,0.2
hu,il,0.1666666667
hu,cz,0.2
hu,bg,0.25
hu,nl,0.1666666667
hu,no,0.1666666667
hu,is,0.3333333333
hu,dk,0.3333333333
ie,ru,0.3333333333
ie,pl,0.75
ie,lt,1
ie,pt,0.2
ie,md,0.2
ie,gb,0.1428571429
ie,no,0.1666666667
ie,au,0.1666666667
ie,ro,0.5
ie,de,0.1428571429
ie,nl,0.1666666667
ie,is,0.3333333333
ie,fi,0.25
ie,ua,0.3333333333
il,ru,1
il,bg,0.25
il,it,0.2857142857
il,cz,0.2
il,ee,0.25
il,md,0.2
il,no,0.3333333333
il,ua,0.6666666667
il,fr,0.2857142857
il,pt,0.2
il,gb,0.1428571429
il,fi,0.25
il,es,0.1428571429
is,se,0.8571428571
is,pl,0.25
is,be,0.2
is,de,0.1428571429
is,cz,0.2
is,dk,0.3333333333
is,no,0.5
is,au,0.3333333333
is,pt,0.2
is,ua,0.3333333333
is,fi,0.5
it,ru,0.6666666667
it,pl,0.25
it,bg,0.25
it,ro,1
it,md,0.8
it,al,0.75
it,ua,0.8333333333
it,no,0.3333333333
it,fi,0.25
lt,ru,0.6666666667
lt,lv,1
lt,md,0.2
lt,be,0.2
lt,cz,0.2
lt,ee,0.5
lt,dk,0.3333333333
lt,it,0.2857142857
lt,no,0.1666666667
lt,ua,0.6666666667
lt,pt,0.2
lt,fr,0.1428571429
lt,se,0.1428571429
lt,fi,0.25
lt,pl,0.25
lv,ru,1
lv,md,0.2
lv,il,0.1666666667
lv,lt,1
lv,no,0.1666666667
lv,ee,0.75
lv,ua,0.3333333333
lv,pt,0.2
lv,be,0.2
lv,se,0.1428571429
lv,fi,0.5
md,ru,1
md,az,0.6
md,it,0.2857142857
md,ua,0.8333333333
md,sm,0.5
md,bg,0.25
md,ro,1
md,il,0.3333333333
md,se,0.1428571429
md,es,0.1428571429
mk,ru,0.3333333333
mk,rs,0.8333333333
mk,it,0.2857142857
mk,hr,0.3333333333
mk,al,0.75
mk,sm,0.5
mk,bg,0.5
mk,cy,0.1666666667
mk,es,0.1428571429
mk,ua,0.1666666667
mt,au,0.1666666667
mt,ru,0.3333333333
mt,il,0.1666666667
mt,nl,0.1666666667
mt,ch,0.25
mt,it,0.8571428571
mt,no,0.1666666667
mt,bg,0.5
mt,pt,0.2
mt,cy,0.1666666667
mt,se,0.2857142857
mt,gb,0.1428571429
mt,fi,0.25
mt,ua,0.1666666667
nl,am,0.25
nl,pl,0.25
nl,be,0.6
nl,il,0.1666666667
nl,dk,0.3333333333
nl,it,0.1428571429
nl,no,0.1666666667
nl,gr,0.25
nl,pt,0.2
nl,bg,0.25
nl,de,0.1428571429
nl,se,0.2857142857
nl,fr,0.1428571429
nl,is,0.3333333333
nl,fi,0.25
nl,ua,0.1666666667
nl,gb,0.1428571429
nl,md,0.2
no,pl,0.25
no,lt,0.8
no,ro,0.5
no,dk,0.3333333333
no,nl,0.1666666667
no,is,0.6666666667
no,au,0.1666666667
no,pt,0.2
no,bg,0.25
no,at,0.25
no,se,0.5714285714
no,fi,0.25
no,ua,0.1666666667
no,fr,0.1428571429
pl,ru,0.3333333333
pl,se,0.2857142857
pl,bg,0.25
pl,il,0.1666666667
pl,cy,0.1666666667
pl,ua,0.8333333333
pl,nl,0.1666666667
pl,no,0.3333333333
pl,is,0.6666666667
pl,it,0.1428571429
pl,pt,0.2
pl,be,0.2
pl,ee,0.25
pl,fi,0.25
pt,bg,0.25
pt,md,0.8
pt,de,0.1428571429
pt,it,0.1428571429
pt,es,0.4285714286
pt,ru,0.3333333333
pt,fr,0.1428571429
pt,ua,0.5
pt,be,0.2
pt,nl,0.1666666667
pt,fi,0.25
ro,hu,0.6666666667
ro,il,0.1666666667
ro,md,1
ro,nl,0.1666666667
ro,it,0.2857142857
ro,ch,0.25
ro,fr,0.1428571429
ro,es,0.1428571429
ro,bg,0.25
ro,ua,0.1666666667
ro,se,0.1428571429
ro,fi,0.25
rs,ru,0.6666666667
rs,bg,0.5
rs,hu,1
rs,cy,0.1666666667
rs,si,1
rs,ua,0.1666666667
rs,es,0.1428571429
rs,md,0.2
rs,no,0.1666666667
rs,pt,0.2
rs,mk,1
rs,it,0.1428571429
rs,fr,0.1428571429
rs,hr,0.3333333333
rs,fi,0.25
ru,ua,0.3333333333
ru,at,0.25
ru,no,0.1666666667
ru,by,0.5
ru,fi,0.25
ru,cy,0.1666666667
ru,am,0.25
ru,il,0.1666666667
ru,md,0.2
ru,az,0.2
ru,it,0.1428571429
se,ru,0.3333333333
se,pl,0.25
se,be,0.2
se,il,0.1666666667
se,dk,0.3333333333
se,no,0.8333333333
se,is,0.6666666667
se,ee,0.25
se,fi,0.5
se,ua,0.1666666667
se,rs,0.1666666667
se,au,0.1666666667
se,pt,0.2
se,md,0.2
se,ch,0.25
si,ru,0.3333333333
si,rs,0.8333333333
si,hr,1
si,it,0.7142857143
si,cz,0.2
si,mk,1
si,gr,0.5
si,pt,0.2
si,ua,0.1666666667
si,fi,0.25
sm,ru,0.6666666667
sm,lt,0.2
sm,bg,0.25
sm,md,0.2
sm,it,0.5714285714
sm,cz,0.2
sm,cy,0.1666666667
sm,ua,0.3333333333
sm,rs,0.1666666667
sm,il,0.3333333333
sm,gr,0.25
sm,fr,0.1428571429
sm,se,0.1428571429
sm,fi,0.25
sm,es,0.1428571429
ua,ru,0.3333333333
ua,pl,0.75
ua,az,0.2
ua,md,0.2
ua,cz,0.2
ua,dk,0.3333333333
ua,fi,0.5
ua,lt,0.4
ua,is,0.3333333333
ua,pt,0.2
ua,by,0.5
ua,il,0.1666666667
ua,it,0.1428571429
ua,hr,0.3333333333
